,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,1/1/2011,1,0,1,0,FALSE,6,1,0.24,0.2879,0.81,0,3,13,16
1,2,1/1/2011,1,0,1,1,FALSE,6,1,0.22,0.2727,0.8,0,8,32,40
2,3,1/1/2011,1,0,1,2,FALSE,6,1,0.22,0.2727,0.8,0,5,27,32
3,4,1/1/2011,1,0,1,3,FALSE,6,1,0.24,0.2879,0.75,0,3,10,13
4,5,1/1/2011,1,0,1,4,FALSE,6,1,0.24,0.2879,0.75,0,0,1,1
5,6,1/1/2011,1,0,1,5,FALSE,6,2,0.24,0.2576,0.75,0.0896,0,1,1
6,7,1/1/2011,1,0,1,6,FALSE,6,1,0.22,0.2727,0.8,0,2,0,2
7,8,1/1/2011,1,0,1,7,FALSE,6,1,0.2,0.2576,0.86,0,1,2,3
8,9,1/1/2011,1,0,1,8,FALSE,6,1,0.24,,0.75,0,1,7,8
9,10,1/1/2011,1,0,1,9,FALSE,6,1,0.32,0.3485,0.76,0,8,6,14
10,11,1/1/2011,1,0,1,10,FALSE,6,1,0.38,0.3939,0.76,0.2537,12,24,36
11,12,1/1/2011,1,0,1,11,FALSE,6,1,0.36,0.3333,0.81,0.2836,26,30,56
12,13,1/1/2011,1,0,1,12,FALSE,6,1,0.42,0.4242,0.77,0.2836,29,55,84
13,14,1/1/2011,1,0,1,13,FALSE,6,2,0.46,0.4545,0.72,0.2985,47,47,94
14,15,1/1/2011,1,0,1,14,FALSE,6,2,0.46,0.4545,0.72,0.2836,35,71,106
15,16,1/1/2011,1,0,1,15,FALSE,6,2,0.44,0.4394,0.77,0.2985,40,70,110
16,17,1/1/2011,1,0,1,16,FALSE,6,2,0.42,0.4242,0.82,0.2985,41,52,93
17,18,1/1/2011,1,0,1,17,FALSE,6,2,0.44,,0.82,0.2836,15,52,67
18,19,1/1/2011,1,0,1,18,FALSE,6,3,0.42,0.4242,0.88,0.2537,9,26,35
19,20,1/1/2011,1,0,1,19,FALSE,6,3,0.42,0.4242,0.88,0.2537,6,31,37
20,21,1/1/2011,1,0,1,20,FALSE,6,2,0.4,0.4091,0.87,0.2537,11,25,36
21,22,1/1/2011,1,0,1,21,FALSE,6,2,0.4,0.4091,0.87,0.194,3,31,34
22,23,1/1/2011,1,0,1,22,FALSE,6,2,0.4,0.4091,0.94,0.2239,11,17,28
23,24,1/1/2011,1,0,1,23,FALSE,6,2,0.46,,0.88,0.2985,15,24,39
24,25,2/1/2011,1,0,1,0,FALSE,0,2,0.46,0.4545,0.88,0.2985,4,13,17
25,26,2/1/2011,1,0,1,1,FALSE,0,2,0.44,0.4394,0.94,0.2537,1,16,17
26,27,2/1/2011,1,0,1,2,FALSE,0,2,0.42,0.4242,1,0.2836,1,8,9
27,28,2/1/2011,1,0,1,3,FALSE,0,2,0.46,0.4545,0.94,0.194,2,4,6
28,29,2/1/2011,1,0,1,4,FALSE,0,2,0.46,,0.94,0.194,2,1,3
29,30,2/1/2011,1,0,1,6,FALSE,0,3,0.42,0.4242,0.77,0.2985,0,2,2
30,31,2/1/2011,1,0,1,7,FALSE,0,2,0.4,0.4091,0.76,0.194,0,1,1
31,32,2/1/2011,1,0,1,8,FALSE,0,3,0.4,0.4091,0.71,0.2239,0,8,8
32,33,2/1/2011,1,0,1,9,FALSE,0,2,0.38,,0.76,0.2239,1,19,20
33,34,2/1/2011,1,0,1,10,FALSE,0,2,0.36,0.3485,0.81,0.2239,7,46,53
34,35,2/1/2011,1,0,1,11,FALSE,0,2,0.36,0.3333,0.71,0.2537,16,54,70
35,36,2/1/2011,1,0,1,12,FALSE,0,2,0.36,0.3333,0.66,0.2985,20,73,93
36,37,2/1/2011,1,0,1,13,FALSE,0,2,0.36,0.3485,0.66,0.1343,11,64,75
37,38,2/1/2011,1,0,1,14,FALSE,0,3,0.36,,0.76,0.194,4,55,59
38,39,2/1/2011,1,0,1,15,FALSE,0,3,0.34,0.3333,0.81,0.1642,19,55,74
39,40,2/1/2011,1,0,1,16,FALSE,0,3,0.34,0.3333,0.71,0.1642,9,67,76
40,41,2/1/2011,1,0,1,17,FALSE,0,1,0.34,0.3333,0.57,0.194,7,58,65
41,42,2/1/2011,1,0,1,18,FALSE,0,2,0.36,0.3333,0.46,0.3284,10,43,53
42,43,2/1/2011,1,0,1,19,FALSE,0,1,0.32,0.2879,0.42,0.4478,1,29,30
43,44,2/1/2011,1,0,1,20,FALSE,0,1,0.3,,0.39,0.3582,5,17,22
44,45,2/1/2011,1,0,1,21,FALSE,0,1,0.26,0.2273,0.44,0.3284,11,20,31
45,46,2/1/2011,1,0,1,22,FALSE,0,1,0.24,0.2121,0.44,0.2985,0,9,9
46,47,2/1/2011,1,0,1,23,FALSE,0,1,0.22,0.2273,0.47,0.1642,0,8,8
47,48,3/1/2011,1,0,1,0,FALSE,1,1,0.22,0.197,0.44,0.3582,0,5,5
48,49,3/1/2011,1,0,1,1,FALSE,1,1,0.2,,0.44,0.4179,0,2,2
49,50,3/1/2011,1,0,1,4,FALSE,1,1,0.16,0.1364,0.47,0.3881,0,1,1
50,51,3/1/2011,1,0,1,5,FALSE,1,1,0.16,0.1364,0.47,0.2836,0,3,3
51,52,3/1/2011,1,0,1,6,FALSE,1,1,0.14,0.1061,0.5,0.3881,0,30,30
52,53,3/1/2011,1,0,1,7,FALSE,1,1,0.14,0.1364,0.5,0.194,1,63,64
53,54,3/1/2011,1,0,1,8,FALSE,1,1,0.14,0.1212,0.5,0.2836,1,153,154
54,55,3/1/2011,1,0,1,9,FALSE,1,1,0.16,0.1364,0.43,0.3881,7,81,88
55,56,3/1/2011,1,0,1,10,FALSE,1,1,0.18,0.1667,0.43,0.2537,11,33,44
56,57,3/1/2011,1,0,1,11,FALSE,1,1,0.2,0.1818,0.4,0.3284,10,41,51
57,58,3/1/2011,1,0,1,12,FALSE,1,1,0.22,0.2121,0.35,0.2985,13,48,61
58,59,3/1/2011,1,0,1,13,FALSE,1,1,0.24,,0.35,0.2836,8,53,61
59,60,3/1/2011,1,0,1,14,FALSE,1,1,0.26,0.2424,0.3,0.2836,11,66,77
60,61,3/1/2011,1,0,1,15,FALSE,1,1,0.26,0.2424,0.3,0.2537,14,58,72
61,62,3/1/2011,1,0,1,16,FALSE,1,1,0.26,0.2424,0.3,0.2537,9,67,76
62,63,3/1/2011,1,0,1,17,FALSE,1,1,0.24,0.2273,0.3,0.2239,11,146,157
63,64,3/1/2011,1,0,1,18,FALSE,1,1,0.24,0.2576,0.32,0.1045,9,148,157
64,65,3/1/2011,1,0,1,19,FALSE,1,1,0.2,0.2576,0.47,0,8,102,110
65,66,3/1/2011,1,0,1,20,FALSE,1,1,0.2,,0.47,0.1045,3,49,52
66,67,3/1/2011,1,0,1,21,FALSE,1,1,0.18,0.197,0.64,0.1343,3,49,52
67,68,3/1/2011,1,0,1,22,FALSE,1,1,0.14,0.1515,0.69,0.1343,0,20,20
68,69,3/1/2011,1,0,1,23,FALSE,1,1,0.18,0.2121,0.55,0.1045,1,11,12
69,70,4/1/2011,1,0,1,0,FALSE,2,1,0.16,,0.55,0.1045,0,5,5
70,71,4/1/2011,1,0,1,1,FALSE,2,1,0.16,0.1818,0.59,0.1045,0,2,2
71,72,4/1/2011,1,0,1,2,FALSE,2,1,0.14,0.1515,0.63,0.1343,0,1,1
72,73,4/1/2011,1,0,1,4,FALSE,2,1,0.14,0.1818,0.63,0.0896,0,2,2
73,74,4/1/2011,1,0,1,5,FALSE,2,1,0.12,0.1515,0.68,0.1045,0,4,4
74,75,4/1/2011,1,0,1,6,FALSE,2,1,0.12,0.1515,0.74,0.1045,0,36,36
75,76,4/1/2011,1,0,1,7,FALSE,2,1,0.12,0.1515,0.74,0.1343,2,92,94
76,77,4/1/2011,1,0,1,8,FALSE,2,1,0.14,0.1515,0.69,0.1642,2,177,179
77,78,4/1/2011,1,0,1,9,FALSE,2,1,0.16,0.1515,0.64,0.2239,2,98,100
78,79,4/1/2011,1,0,1,10,FALSE,2,2,0.16,0.1364,0.69,0.3284,5,37,42
79,80,4/1/2011,1,0,1,11,FALSE,2,1,0.22,0.2121,0.51,0.2985,7,50,57
80,81,4/1/2011,1,0,1,12,FALSE,2,1,0.22,0.2273,0.51,0.1642,12,66,78
81,82,4/1/2011,1,0,1,13,FALSE,2,1,0.24,0.2273,0.56,0.194,18,79,97
82,83,4/1/2011,1,0,1,14,FALSE,2,1,0.26,0.2576,0.52,0.2239,9,54,63
83,84,4/1/2011,1,0,1,15,FALSE,2,1,0.28,0.2727,0.52,0.2537,17,48,65
84,85,4/1/2011,1,0,1,16,FALSE,2,1,0.3,0.2879,0.49,0.2537,15,68,83
85,86,4/1/2011,1,0,1,17,FALSE,2,1,0.28,0.2727,0.48,0.2239,10,202,212
86,87,4/1/2011,1,0,1,18,FALSE,2,1,0.26,0.2576,0.48,0.194,3,179,182
87,88,4/1/2011,1,0,1,19,FALSE,2,1,0.24,0.2576,0.48,0.1045,2,110,112
88,89,4/1/2011,1,0,1,20,FALSE,2,1,0.24,0.2576,0.48,0.1045,1,53,54
89,90,4/1/2011,1,0,1,21,FALSE,2,1,0.22,0.2727,0.64,0,0,48,48
